method,budget,reviewer_sensitivity,review_cost_ratio_lambda,observed_normalized_idealized_net_gain,bootstrap_mean,ci_low,ci_high,iterations,resampling_unit,models_retrained_within_bootstrap
confidence,0.2,0.8,0.05,0.03825,0.04287161159566639,0.027542219356423484,0.06052163467471881,5000,claim_source_component,False
confidence,0.2,0.8,0.1,0.0285,0.03402163887799451,0.019262627692452874,0.05177447972135407,5000,claim_source_component,False
confidence,0.2,0.8,0.2,0.008999999999999998,0.016321693442650765,0.0016945591796040443,0.034992324280125664,5000,claim_source_component,False
confidence,0.2,0.8,0.5,-0.049499999999999995,-0.03677814286338048,-0.05469045851398705,-0.013252375593898523,5000,claim_source_component,False
confidence,0.2,1.0,0.01,0.05805,0.06288198584813845,0.04260498117150687,0.08493451384963256,5000,claim_source_component,False
confidence,0.2,1.0,0.05,0.050249999999999996,0.055802007674000946,0.03642355037662403,0.07777844551282051,5000,claim_source_component,False
confidence,0.2,1.0,0.1,0.040499999999999994,0.046952034956329075,0.0283132922892751,0.0691245012835184,5000,claim_source_component,False
confidence,0.2,1.0,0.2,0.020999999999999998,0.029252089520985326,0.010977124419856281,0.05201669668023801,5000,claim_source_component,False
confidence,0.2,1.0,0.5,-0.0375,-0.02384774678504591,-0.044598704405811145,0.0030243462854349927,5000,claim_source_component,False
learned,0.01,0.6,0.01,0.004833333333333334,0.004397225898612134,0.0018655084402181923,0.007479001690284335,5000,claim_source_component,False
learned,0.01,0.6,0.05,0.004166666666666667,0.003837509748338067,0.0013273991136636615,0.006881720430107526,5000,claim_source_component,False
learned,0.01,0.6,0.1,0.0033333333333333335,0.003137864560495484,0.0006589244798640923,0.006148931120026951,5000,claim_source_component,False
learned,0.01,0.6,0.2,0.0016666666666666668,0.0017385741848103173,-0.0007018472106191406,0.004660214744117163,5000,claim_source_component,False
learned,0.01,0.6,0.5,-0.0033333333333333335,-0.002459296942245182,-0.004865323922648764,0.00023316895368781978,5000,claim_source_component,False
learned,0.01,0.8,0.01,0.0065,0.005909610877339018,0.002533227953410982,0.010021451692220634,5000,claim_source_component,False
learned,0.01,0.8,0.05,0.005833333333333334,0.0053498947270649525,0.0020000000000000005,0.009428055062847635,5000,claim_source_component,False
learned,0.01,0.8,0.1,0.005,0.004650249539222369,0.0013257666087178137,0.008677904818602044,5000,claim_source_component,False
learned,0.01,0.8,0.2,0.0033333333333333335,0.003250959163537202,0.0,0.007203772176040875,5000,claim_source_component,False
learned,0.01,0.8,0.5,-0.0016666666666666668,-0.0009469119635182983,-0.00415655337234579,0.0027602317387179828,5000,claim_source_component,False
learned,0.01,1.0,0.01,0.008166666666666668,0.007421995856065902,0.0031998668885191346,0.01256385825631214,5000,claim_source_component,False
learned,0.01,1.0,0.05,0.0075,0.0068622797057918345,0.002666555740432612,0.011970630058024121,5000,claim_source_component,False
learned,0.01,1.0,0.1,0.006666666666666667,0.006162634517949251,0.001996479164559988,0.011205357888373424,5000,claim_source_component,False
