method,budget,reviewed_count,review_rate,coverage,selective_accuracy,selective_risk,selective_macro_f1,detected_false_supports,missed_false_supports,incorrectly_reviewed_correct_supports,error_detection_precision,error_detection_recall,accepted_support_predictions,accepted_support_precision,accepted_false_support_rate,oracle_review_accuracy_upper_bound
kg_evidence_state_only,0.15,92,0.15333333333333332,0.8466666666666667,0.5807086614173228,0.4192913385826772,0.5427569416987943,36,9,56,0.391304347826087,0.8,41,0.7804878048780488,0.21951219512195122,0.645
kg_evidence_state_only,0.16,99,0.165,0.835,0.5768463073852296,0.4231536926147704,0.5285975668607792,37,8,62,0.37373737373737376,0.8222222222222222,34,0.7647058823529411,0.23529411764705882,0.6466666666666666
kg_evidence_state_only,0.17,103,0.17166666666666666,0.8283333333333334,0.5734406438631791,0.42655935613682094,0.5172532673712728,37,8,66,0.3592233009708738,0.8222222222222222,30,0.7333333333333334,0.26666666666666666,0.6466666666666666
kg_evidence_state_only,0.18,108,0.18,0.82,0.5711382113821138,0.42886178861788615,0.5056238952764527,38,7,70,0.35185185185185186,0.8444444444444444,25,0.72,0.28,0.6483333333333333
kg_evidence_state_only,0.19,112,0.18666666666666668,0.8133333333333334,0.569672131147541,0.430327868852459,0.4965357404020254,39,6,73,0.3482142857142857,0.8666666666666667,21,0.7142857142857143,0.2857142857142857,0.65
kg_evidence_state_only,0.2,117,0.195,0.805,0.5652173913043478,0.4347826086956522,0.4772773515784192,39,6,78,0.3333333333333333,0.8666666666666667,16,0.625,0.375,0.65
semantic_rules_only,0.0,0,0.0,1.0,0.585,0.41500000000000004,0.5857622328210564,0,45,0,0.0,0.0,133,0.6616541353383458,0.3383458646616541,0.585
semantic_rules_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5779661016949152,0.42203389830508475,0.5757202419483946,0,45,10,0.0,0.0,123,0.6341463414634146,0.36585365853658536,0.585
semantic_rules_only,0.02,15,0.025,0.975,0.5777777777777777,0.4222222222222223,0.5745706479313037,2,43,13,0.13333333333333333,0.044444444444444446,118,0.6355932203389831,0.3644067796610169,0.5883333333333334
semantic_rules_only,0.03,21,0.035,0.965,0.5734024179620034,0.4265975820379966,0.5676328087325122,2,43,19,0.09523809523809523,0.044444444444444446,112,0.6160714285714286,0.38392857142857145,0.5883333333333334
semantic_rules_only,0.04,26,0.043333333333333335,0.9566666666666667,0.5696864111498258,0.43031358885017423,0.5614018282977908,2,43,24,0.07692307692307693,0.044444444444444446,107,0.5981308411214954,0.40186915887850466,0.5883333333333334
semantic_rules_only,0.05,32,0.05333333333333334,0.9466666666666667,0.5686619718309859,0.4313380281690141,0.5582123914437256,4,41,28,0.125,0.08888888888888889,101,0.594059405940594,0.40594059405940597,0.5916666666666667
semantic_rules_only,0.06,37,0.06166666666666667,0.9383333333333334,0.5701598579040853,0.4298401420959147,0.5584715056864955,7,38,30,0.1891891891891892,0.15555555555555556,96,0.6041666666666667,0.3958333333333333,0.5966666666666667
semantic_rules_only,0.07,43,0.07166666666666667,0.9283333333333333,0.5691202872531418,0.4308797127468582,0.5551657985748681,9,36,34,0.20930232558139536,0.2,90,0.6,0.4,0.6
semantic_rules_only,0.08,52,0.08666666666666667,0.9133333333333333,0.5693430656934306,0.43065693430656937,0.5520673261158114,13,32,39,0.25,0.28888888888888886,81,0.6049382716049383,0.3950617283950617,0.6066666666666667
semantic_rules_only,0.09,58,0.09666666666666666,0.9033333333333333,0.566420664206642,0.43357933579335795,0.5448034069137186,14,31,44,0.2413793103448276,0.3111111111111111,75,0.5866666666666667,0.41333333333333333,0.6083333333333333
semantic_rules_only,0.1,63,0.105,0.895,0.5679702048417132,0.43202979515828677,0.5446671247518705,17,28,46,0.2698412698412698,0.37777777777777777,70,0.6,0.4,0.6133333333333333
semantic_rules_only,0.11,69,0.115,0.885,0.5668549905838042,0.4331450094161958,0.5395589203442223,19,26,50,0.2753623188405797,0.4222222222222222,64,0.59375,0.40625,0.6166666666666667
semantic_rules_only,0.12,74,0.12333333333333334,0.8766666666666667,0.5627376425855514,0.43726235741444863,0.5290219952938283,19,26,55,0.25675675675675674,0.4222222222222222,59,0.5593220338983051,0.4406779661016949,0.6166666666666667
semantic_rules_only,0.13,79,0.13166666666666665,0.8683333333333333,0.5623800383877159,0.4376199616122841,0.5239364852088501,21,24,58,0.26582278481012656,0.4666666666666667,54,0.5555555555555556,0.4444444444444444,0.62
