seed,fold,task,model,count,accuracy,macro_f1,irrelevant_precision,irrelevant_recall,irrelevant_f1,irrelevant_support,partial_precision,partial_recall,partial_f1,partial_support,relevant_precision,relevant_recall,relevant_f1,relevant_support,non_actionable_precision,non_actionable_recall,non_actionable_f1,non_actionable_support,actionable_precision,actionable_recall,actionable_f1,actionable_support
37,2,path_relevance,majority_baseline,97,0.35051546391752575,0.17302798982188294,0.35051546391752575,1.0,0.5190839694656488,34,0.0,0.0,0.0,57,0.0,0.0,0.0,6,,,,,,,,
37,2,path_relevance,rule_baseline,97,0.5670103092783505,0.2412280701754386,0.0,0.0,0.0,34,0.5789473684210527,0.9649122807017544,0.7236842105263158,57,0.0,0.0,0.0,6,,,,,,,,
37,2,path_relevance,logistic_regression,97,0.6082474226804123,0.4808373590982287,0.5535714285714286,0.9117647058823529,0.6888888888888889,34,0.7714285714285715,0.47368421052631576,0.5869565217391305,57,0.16666666666666666,0.16666666666666666,0.16666666666666666,6,,,,,,,,
37,2,path_relevance,random_forest,97,0.5360824742268041,0.44075636085945363,0.4444444444444444,0.8235294117647058,0.5773195876288659,34,0.7419354838709677,0.40350877192982454,0.5227272727272727,57,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,,,,,,,,
37,2,actionability,majority_baseline,97,0.7835051546391752,0.4393063583815029,,,,,,,,,,,,,0.7835051546391752,1.0,0.8786127167630058,76,0.0,0.0,0.0,21
37,2,actionability,rule_baseline,97,0.7835051546391752,0.4820747520976354,,,,,,,,,,,,,0.7894736842105263,0.9868421052631579,0.8771929824561403,76,0.5,0.047619047619047616,0.08695652173913043,21
37,2,actionability,logistic_regression,97,0.845360824742268,0.7261434217955958,,,,,,,,,,,,,0.8588235294117647,0.9605263157894737,0.906832298136646,76,0.75,0.42857142857142855,0.5454545454545454,21
37,2,actionability,random_forest,97,0.8247422680412371,0.6342869815923708,,,,,,,,,,,,,0.8241758241758241,0.9868421052631579,0.8982035928143712,76,0.8333333333333334,0.23809523809523808,0.37037037037037035,21
37,3,path_relevance,majority_baseline,83,0.3373493975903614,0.16816816816816815,0.0,0.0,0.0,46,0.3373493975903614,1.0,0.5045045045045045,28,0.0,0.0,0.0,9,,,,,,,,
37,3,path_relevance,rule_baseline,83,0.3253012048192771,0.30687830687830686,0.0,0.0,0.0,46,0.30985915492957744,0.7857142857142857,0.4444444444444444,28,0.4166666666666667,0.5555555555555556,0.47619047619047616,9,,,,,,,,
37,3,path_relevance,logistic_regression,83,0.6265060240963856,0.6162785129375709,0.8484848484848485,0.6086956521739131,0.7088607594936709,46,0.48484848484848486,0.5714285714285714,0.5245901639344263,28,0.47058823529411764,0.8888888888888888,0.6153846153846154,9,,,,,,,,
37,3,path_relevance,random_forest,83,0.6265060240963856,0.6188618145139885,0.7631578947368421,0.6304347826086957,0.6904761904761905,46,0.4634146341463415,0.6785714285714286,0.5507246376811594,28,1.0,0.4444444444444444,0.6153846153846154,9,,,,,,,,
37,3,actionability,majority_baseline,83,0.7831325301204819,0.4391891891891892,,,,,,,,,,,,,0.7831325301204819,1.0,0.8783783783783784,65,0.0,0.0,0.0,18
37,3,actionability,rule_baseline,83,0.8313253012048193,0.7151960784313726,,,,,,,,,,,,,0.8591549295774648,0.9384615384615385,0.8970588235294118,65,0.6666666666666666,0.4444444444444444,0.5333333333333333,18
37,3,actionability,logistic_regression,83,0.8192771084337349,0.77740032183086,,,,,,,,,,,,,0.9629629629629629,0.8,0.8739495798319328,65,0.5517241379310345,0.8888888888888888,0.6808510638297872,18
37,3,actionability,random_forest,83,0.8072289156626506,0.7162393162393162,,,,,,,,,,,,,0.8769230769230769,0.8769230769230769,0.8769230769230769,65,0.5555555555555556,0.5555555555555556,0.5555555555555556,18
